status_id,"Translated(src=en, dest=en, text=status_message, pronunciation=status_message)",link_name
405046796227418_1641522342579851,"Translated(src=en, dest=en, text=https://m.facebook.com/story.php?story_fbid=10159652478735026&id=597270025, pronunciation=https://m.facebook.com/story.php?story_fbid=10159652478735026&id=597270025)",54% swing from Labour is just one of THREE Lib Dem by-election gains
405046796227418_10155974352338270,"Translated(src=en, dest=en, text=Today, on World AIDS Day, we pay tribute to those who lost their lives to HIV and AIDS. I would also like to thank the researchers, campaigners and advocates who dedicate their lives to this battle in the hope that future generations do not have to know the pain and suffering caused by HIV and AIDS. So let's all work together to end the transmission the fear and the stigma of HIV and AIDS once and for all., pronunciation=Today, on World AIDS Day, we pay tribute to those who lost their lives to HIV and AIDS. I would also like to thank the researchers, campaigners and advocates who dedicate their lives to this battle in the hope that future generations do not have to know the pain and suffering caused by HIV and AIDS. So let's all work together to end the transmission the fear and the stigma of HIV and AIDS once and for all.)",Vince Cable on World Aids Day
405046796227418_1641498202582265,"Translated(src=en, dest=en, text=Vital that Theresa May ends the humiliating dependence of #BrexitBritain on the goodwill of an evil racist. Cancel visit. 

http://www.bbc.co.uk/news/uk-politics-42182407, pronunciation=Vital that Theresa May ends the humiliating dependence of #BrexitBritain on the goodwill of an evil racist. Cancel visit. 

http://www.bbc.co.uk/news/uk-politics-42182407)",When Theresa met Donald
405046796227418_1641420409256711,"Translated(src=en, dest=en, text=At St Mary's School taking questions from years 4 & 6.

Is Brexit a good or bad thing? Our future generation gives a show of hands at 18:40., pronunciation=At St Mary's School taking questions from years 4 & 6.

Is Brexit a good or bad thing? Our future generation gives a show of hands at 18:40.)","Live at St Mary's School, Twickenham."
405046796227418_1640453039353448,"Translated(src=en, dest=en, text=Theresa May is thankfully finally showing signs of standing up to #Trump. She now needs to bite the bullet and cancel his visit here.
What remains of our special relationship with the US makes us vulnerable with Trump in charge. Staying in the EU protects us from that.

The solution is clear: an Exit from Brexit and a divorce from Trump.
Join the only party commited to staying in the EU: www.libdems.org.uk/join, pronunciation=Theresa May is thankfully finally showing signs of standing up to #Trump. She now needs to bite the bullet and cancel his visit here.
What remains of our special relationship with the US makes us vulnerable with Trump in charge. Staying in the EU protects us from that.

The solution is clear: an Exit from Brexit and a divorce from Trump.
Join the only party commited to staying in the EU: www.libdems.org.uk/join)",Vince Cable: The solution is clear
405046796227418_1640270969371655,"Translated(src=en, dest=en, text=How much more will it take from this evil racist before Theresa May realises his visit has to be cancelled? 

http://www.bbc.co.uk/news/world-us-canada-42176507, pronunciation=How much more will it take from this evil racist before Theresa May realises his visit has to be cancelled? 

http://www.bbc.co.uk/news/world-us-canada-42176507)",Trump hits out at UK PM May over tweets
405046796227418_1639890852743000,"Translated(src=en, dest=en, text=WATCH: Around £50 billion. That is the offer being put on the table by the government. You might recall that this is what the European Union asked for in the first place!

Just another day of 'negotiations'...

Hear what I had to say on Channel 4 News last night., pronunciation=WATCH: Around £50 billion. That is the offer being put on the table by the government. You might recall that this is what the European Union asked for in the first place!

Just another day of 'negotiations'...

Hear what I had to say on Channel 4 News last night.)",Vince on Brexit divorce fee & the Irish border
405046796227418_1639397832792302,"Translated(src=en, dest=en, text=The Irish have more to lose from a bad Brexit than almost any other country in the European Union.

I spoke to Bloomberg News about the ever increasing chances of Theresa May's government passing the EU summit deadline to settling terms of the Irish border, divorce bill and EU nationals' rights., pronunciation=The Irish have more to lose from a bad Brexit than almost any other country in the European Union.

I spoke to Bloomberg News about the ever increasing chances of Theresa May's government passing the EU summit deadline to settling terms of the Irish border, divorce bill and EU nationals' rights.)",Bloomberg
405046796227418_1639386139460138,"Translated(src=en, dest=en, text=It's encouraging that a senior member of the Shadow Cabinet should come out for the Liberal Democrat position of giving the public a vote on the final deal.        

I call on Labour to confirm that they back Diane Abbott's new position. I also look forward to working with her to give the people the chance to vote for an #ExitFromBrexit. If the progressive parties did work together to give the public a say on the final deal, we could, even at this late hour, still stop Brexit.

http://www.independent.co.uk/news/uk/politics/brexit-second-referendum-diane-abbott-final-deal-eu-withdrawal-labour-shadow-home-secretary-jeremy-a8081536.html, pronunciation=It's encouraging that a senior member of the Shadow Cabinet should come out for the Liberal Democrat position of giving the public a vote on the final deal.        

I call on Labour to confirm that they back Diane Abbott's new position. I also look forward to working with her to give the people the chance to vote for an #ExitFromBrexit. If the progressive parties did work together to give the public a say on the final deal, we could, even at this late hour, still stop Brexit.

http://www.independent.co.uk/news/uk/politics/brexit-second-referendum-diane-abbott-final-deal-eu-withdrawal-labour-shadow-home-secretary-jeremy-a8081536.html)",Diane Abbott 'would back a second referendum'
405046796227418_1639207099478042,"Translated(src=en, dest=en, text=, pronunciation=)",Place your order!
